Plot_ID,Row,ID,Raceme_ID,No_Floral_Units,Plant_Species,Subplot_Type,Volume_Absolute,Concentration_Absolute,Concentration_AverageBlanks,Sugar_Absolute
41,6,100,46,2,Lathyrus,Roofed,7.21875,0.47060172,0.47060172,3.397156166
41,6,101,46,2,Lathyrus,Roofed,7.1875,0.331685964,0.331685964,2.383992866
42,6,109,49,3,Lathyrus,Control,5.625,0.376630584,0.376630584,2.118547035
36,6,526,281,2,Lathyrus,Control,3.828125,0.47060172,0.47060172,1.801522209
36,6,240,119,2,Lathyrus,Roofed,6.875,0.23376176,0.23376176,1.6071121
36,6,523,279,2,Lathyrus,Drought,3.4375,0.463703219,0.463703219,1.593979815
42,6,585,308,1,Lathyrus,Roofed,2.5,0.622450022,0.622450022,1.556125054
41,6,103,47,4,Lathyrus,Control,2.34375,0.570320654,0.570320654,1.336689033
41,6,102,47,4,Lathyrus,Control,2.5,0.484486832,0.484486832,1.21121708
41,6,873,448,2,Lathyrus,Roofed,1.875,0.498490314,0.498490314,0.934669339
36,6,241,119,2,Lathyrus,Roofed,2.8125,0.288040922,0.288040922,0.810115093
36,6,627,328,3,Lathyrus,Roofed,2.34375,0.33802599,0.33802599,0.792248414
41,6,104,47,4,Lathyrus,Control,1.40625,0.52685666,0.52685666,0.740892178
36,6,236,117,4,Lathyrus,Control,2.109375,0.32537246,0.32537246,0.686332533
36,6,644,341,2,Lathyrus,Drought,1.5625,0.429645924,0.429645924,0.671321756
36,6,524,280,2,Lathyrus,Drought,2.03125,0.288040922,0.288040922,0.585083123
36,6,643,341,2,Lathyrus,Drought,0.953125,0.484486832,0.484486832,0.461776512
42,6,257,133,2,Lathyrus,Control,1.40625,0.32537246,0.32537246,0.457555022
36,6,521,278,3,Lathyrus,Roofed,1.5625,0.2758032,0.2758032,0.4309425
42,6,256,133,2,Lathyrus,Control,1.328125,0.306589745,0.306589745,0.407189505
42,6,106,48,2,Lathyrus,Roofed,1.640625,0.221971397,0.221971397,0.364171822
42,6,594,312,1,Lathyrus,Roofed,0.78125,0.45683391,0.45683391,0.356901492
36,6,628,329,2,Lathyrus,Drought,1.25,0.26366676,0.26366676,0.32958345
36,6,692,369,4,Lathyrus,Roofed,1.5625,0.20446641,0.20446641,0.319478766
41,6,254,131,3,Prunella,Control,0.515625,0.54122166,0.54122166,0.279067418
39,6,243,124,10,Prunella,Drought,0.703125,0.396301742,0.396301742,0.278649662
36,6,82,35,1,Lathyrus,Roofed,1.125,0.245649668,0.245649668,0.276355876
39,6,245,124,10,Prunella,Drought,0.390625,0.607397274,0.607397274,0.23726456
36,6,238,118,4,Lathyrus,Drought,0.9375,0.251630534,0.251630534,0.235903626
42,6,587,309,9,Prunella,Drought,0.828125,0.2758032,0.2758032,0.228399525
41,6,620,325,6,Prunella,Drought,0.953125,0.23376176,0.23376176,0.222804178
42,6,588,309,9,Prunella,Drought,0.34375,0.645270444,0.645270444,0.221811715
41,6,253,131,3,Prunella,Control,0.375,0.585056784,0.585056784,0.219396294
36,6,237,118,4,Lathyrus,Drought,0.46875,0.45683391,0.45683391,0.214140895
39,6,244,124,10,Prunella,Drought,0.5625,0.376630584,0.376630584,0.211854704
40,6,609,321,5,Onobrychis,Roofed,0.328125,0.645270444,0.645270444,0.211729364
39,6,248,125,4,Prunella,Roofed,0.578125,0.33802599,0.33802599,0.195421275
41,6,874,448,2,Lathyrus,Roofed,0.46875,0.416223612,0.416223612,0.195104818
36,6,235,117,4,Lathyrus,Control,0.625,0.300380994,0.300380994,0.187738121
36,6,693,369,4,Lathyrus,Roofed,0.9375,0.18717489,0.18717489,0.175476459
40,6,610,321,5,Onobrychis,Roofed,0.3515625,0.484486832,0.484486832,0.170327402
39,6,904,463,17,Prunella,Drought,0.5,0.312824484,0.312824484,0.156412242
39,6,247,125,4,Prunella,Roofed,0.296875,0.52685666,0.52685666,0.156410571
36,6,689,368,10,Prunella,Drought,0.40625,0.383160002,0.383160002,0.155658751
41,6,252,131,3,Prunella,Control,0.375,NA,0.4099,0.1537125
41,6,619,325,6,Prunella,Drought,0.5625,0.269722387,0.269722387,0.151718842
42,6,107,49,3,Lathyrus,Control,0.625,0.221971397,0.221971397,0.138732123
36,6,234,117,4,Lathyrus,Control,0.234375,0.548450084,0.548450084,0.128542988
40,6,611,321,5,Onobrychis,Roofed,0.34375,0.350786142,0.350786142,0.120582736
38,6,92,39,2,Onobrychis,Drought,0.296875,0.38971701,0.38971701,0.115697237
41,6,250,130,3,Prunella,Drought,0.28125,NA,0.4099,0.115284375
38,6,86,37,3,Onobrychis,Roofed,0.234375,0.484486832,0.484486832,0.113551601
36,6,690,368,10,Prunella,Drought,0.28125,0.383160002,0.383160002,0.107763751
40,6,95,44,2,Lathyrus,Roofed,0.46875,0.21611246,0.21611246,0.101302716
39,6,622,327,9,Onobrychis,Control,0.15625,0.645270444,0.645270444,0.100823507
36,6,694,369,4,Lathyrus,Roofed,0.46875,0.20446641,0.20446641,0.09584363
37,6,651,344,13,Onobrychis,Roofed,0.15625,0.59991876,0.59991876,0.093737306
37,6,652,344,13,Onobrychis,Roofed,0.15625,0.59991876,0.59991876,0.093737306
41,6,251,130,3,Prunella,Drought,0.21875,NA,0.4099,0.089665625
42,6,586,309,9,Prunella,Drought,0.328125,0.26366676,0.26366676,0.086515656
36,6,625,328,3,Lathyrus,Roofed,0.46875,0.181457864,0.181457864,0.085058374
38,6,88,37,3,Onobrychis,Roofed,0.1875,0.44999366,0.44999366,0.084373811
