Row,Plot_ID,FG,FG_Diversity,Date_Surveyed,Subplot_Type,SubplotID,Survey_Number,SurveyID,TaxonomicID,Pollinator_Species_Code,Plant_Species,No_Visits
1,1,2,1,24-Jul-16,C,1.C,2,1.C.2,Diptera,Diptera_med,Crepis_capillaris,5
1,1,2,1,27-Jul-16,D,1.D,2,1.D.2,Diptera,Diptera_med,Daucus_carota,1
1,1,2,1,21-Jul-16,C,1.C,2,1.C.2,Diptera,Diptera_minute,Lathyrus_pratensis,1
1,1,2,1,22-Jul-16,C,1.C,2,1.C.2,Nitidulidae,Pollen_Beetle,Crepis_capillaris,19
1,1,2,1,23-Jul-16,C,1.C,2,1.C.2,Nitidulidae,Pollen_Beetle,Lathyrus_pratensis,2
1,1,2,1,26-Jul-16,D,1.D,2,1.D.2,Nitidulidae,Pollen_Beetle,Crepis_capillaris,3
1,1,2,1,28-Jul-16,R,1.R,2,1.R.2,Nitidulidae,Pollen_Beetle,Crepis_capillaris,14
1,1,2,1,20-Jul-16,R,1.R,1,1.R.1,Apoidea,SolBee_lrg,Crepis_capillaris,4
1,1,2,1,25-Jul-16,C,1.C,2,1.C.2,Syrphidae,Syrphid_med_blackshiny,Crepis_capillaris,1
1,2,3,1,22-Jul-16,R,2.R,2,2.R.2,Apis_melifera,Apis_melifera,Onobrychis_viciifolia,2
1,2,3,1,20-Jul-16,C,2.C,1,2.C.1,Bombus_lapidarius,Bombus_lap,Onobrychis_viciifolia,15
1,2,3,1,20-Jul-16,C,2.C,1,2.C.1,Bombus_lapidarius,Bombus_lap,Vicia_cracca,6
1,2,3,1,22-Jul-16,C,2.C,2,2.C.2,Bombus_lapidarius,Bombus_lap,Onobrychis_viciifolia,25
1,2,3,1,22-Jul-16,C,2.C,2,2.C.2,Bombus_lapidarius,Bombus_lap,Vicia_cracca,1
1,2,3,1,22-Jul-16,D,2.D,2,2.D.2,Bombus_lapidarius,Bombus_lap,Onobrychis_viciifolia,3
1,2,3,1,22-Jul-16,R,2.R,2,2.R.2,Bombus_lapidarius,Bombus_lap,Onobrychis_viciifolia,15
1,2,3,1,22-Jul-16,D,2.D,2,2.D.2,Diptera,Diptera_med,Daucus_carota,3
1,2,3,1,20-Jul-16,D,2.D,1,2.D.1,Diptera,Diptera_minute,Daucus_carota,1
1,2,3,1,20-Jul-16,R,2.R,1,2.R.1,Diptera,Diptera_minute,Leucanthemum_vulgare,1
1,2,3,1,22-Jul-16,D,2.D,2,2.D.2,Eristalis_spp,Eristalis_lrg,Daucus_carota,1
1,2,3,1,20-Jul-16,R,2.R,1,2.R.1,Hemiptera,Heteroptera,Onobrychis_viciifolia,1
1,2,3,1,20-Jul-16,R,2.R,1,2.R.1,Sarcophagidae,Sarcoph,Onobrychis_viciifolia,1
1,3,12,2,20-Jul-16,C,3.C,1,3.C.1,Hemiptera,Heteroptera,Onobrychis_viciifolia,1
1,3,12,2,21-Jul-16,C,3.C,2,3.C.2,Nitidulidae,Pollen_Beetle,Crepis_capillaris,2
1,3,12,2,20-Jul-16,C,3.C,1,3.C.1,Syrphidae,Syrphid_med_shiny_yb,Daucus_carota,1
