Plot_ID,Row,Raceme_ID,Plant_Species,Subplot_Type,CountWithNectar,TotalFlowersTested
1,1,196,Lathyrus,D,1,3
1,1,197,Lathyrus,C,3,3
1,1,137,Prunella,D,3,3
1,1,136,Prunella,C,0,1
1,1,135,Prunella,R,1,3
2,1,414,Onobrychis,C,3,3
2,1,413,Onobrychis,C,3,3
2,1,415,Onobrychis,R,1,3
2,1,416,Onobrychis,R,2,3
2,1,412,Onobrychis,C,3,3
3,1,350,Lathyrus,R,0,1
3,1,51,Prunella,C,3,3
3,1,53,Prunella,R,3,3
3,1,433,Lathyrus,R,2,3
3,1,434,Lathyrus,R,3,3
3,1,52,Prunella,D,1,2
3,1,351,Lathyrus,R,2,2
3,1,198,Prunella,R,0,2
3,1,148,Prunella,C,3,3
3,1,199,Prunella,C,0,1
3,1,138,Prunella,D,1,3
3,1,146,Prunella,D,0,1
3,1,139,Prunella,R,2,3
3,1,140,Prunella,C,1,2
3,1,144,Lathyrus,C,2,2
3,1,454,Prunella,R,0,1
3,1,147,Prunella,R,3,3
3,1,352,Lathyrus,R,1,1
3,1,453,Lathyrus,R,2,2
3,1,145,Lathyrus,R,2,2
4,1,418,Onobrychis,C,1,3
4,1,54,Onobrychis,C,3,3
4,1,55,Onobrychis,D,3,3
4,1,419,Onobrychis,R,0,1
4,1,417,Onobrychis,C,2,3
4,1,420,Onobrychis,C,1,2
4,1,56,Onobrychis,R,3,3
4,1,435,Onobrychis,R,3,3
4,1,436,Onobrychis,D,0,1
4,1,316,Onobrychis,R,3,3
4,1,317,Onobrychis,D,1,1
4,1,437,Onobrychis,C,2,3
5,1,224,Prunella,C,0,1
6,1,150,Prunella,D,2,3
6,1,315,Prunella,D,1,2
6,1,230,Prunella,D,1,1
6,1,314,Lathyrus,R,0,1
6,1,353,Onobrychis,D,1,2
6,1,226,Prunella,R,1,3
6,1,203,Lathyrus,R,3,3
6,1,204,Lathyrus,D,0,1
6,1,149,Prunella,C,3,3
6,1,201,Prunella,C,3,3
6,1,440,Lathyrus,R,1,2
6,1,225,Prunella,R,3,3
6,1,227,Prunella,C,3,3
6,1,439,Lathyrus,C,3,3
6,1,438,Lathyrus,D,3,3
6,1,202,Lathyrus,R,2,3
6,1,228,Lathyrus,C,3,3
6,1,57,Prunella,R,1,1
6,1,354,Onobrychis,R,2,3
6,1,455,Prunella,C,3,3
6,1,59,Prunella,D,1,1
6,1,58,Prunella,C,2,2
7,1,232,Prunella,C,1,1
7,1,231,Lathyrus,R,1,1
7,1,233,Lathyrus,C,0,3
7,1,205,Lathyrus,R,3,3
7,1,208,Prunella,C,3,3
7,1,206,Lathyrus,C,3,3
7,1,207,Prunella,D,0,1
7,1,234,Prunella,D,0,1
9,2,1,Prunella,R,0,3
9,2,3,Prunella,D,2,3
9,2,267,Lathyrus,C,1,1
9,2,2,Prunella,C,3,3
9,2,358,Prunella,C,1,1
9,2,356,Lathyrus,R,0,1
9,2,357,Prunella,D,1,3
9,2,90,Prunella,R,1,1
9,2,359,Lathyrus,C,2,2
9,2,91,Prunella,D,3,3
9,2,92,Prunella,C,3,3
9,2,330,Prunella,R,3,3
10,2,360,Prunella,C,0,1
10,2,361,Lathyrus,D,3,3
10,2,270,Lathyrus,D,0,3
10,2,268,Lathyrus,C,2,3
10,2,331,Prunella,D,0,1
11,2,95,Prunella,R,3,3
11,2,362,Onobrychis,C,3,3
11,2,94,Prunella,C,3,3
11,2,333,Prunella,D,0,1
11,2,271,Prunella,R,0,1
11,2,272,Lathyrus,C,3,3
11,2,335,Onobrychis,D,1,1
11,2,6,Lathyrus,D,1,3
11,2,5,Lathyrus,R,1,3
11,2,4,Lathyrus,C,1,1
11,2,93,Prunella,D,2,3
12,2,337,Onobrychis,R,3,3
12,2,274,Prunella,C,0,1
12,2,318,Onobrychis,D,0,1
12,2,336,Onobrychis,C,3,3
12,2,9,Onobrychis,R,3,3
12,2,98,Prunella,C,1,1
12,2,97,Prunella,D,0,1
12,2,96,Prunella,R,3,3
12,2,365,Onobrychis,C,2,2
12,2,275,Prunella,R,0,3
12,2,282,Lathyrus,D,0,1
12,2,283,Prunella,R,0,1
12,2,284,Prunella,C,2,3
12,2,273,Lathyrus,D,1,3
12,2,276,Prunella,C,0,1
12,2,8,Onobrychis,C,1,1
12,2,451,Prunella,R,2,3
12,2,452,Prunella,C,3,3
12,2,456,Lathyrus,D,3,3
12,2,7,Onobrychis,D,0,2
12,2,366,Onobrychis,R,2,2
13,2,295,Onobrychis,C,2,3
13,2,296,Onobrychis,R,2,3
13,2,297,Onobrychis,D,3,3
14,2,12,Onobrychis,D,2,2
14,2,11,Onobrychis,C,3,3
14,2,10,Onobrychis,R,0,1
14,2,338,Onobrychis,D,2,3
14,2,367,Onobrychis,C,0,1
14,2,355,Onobrychis,D,1,2
15,3,209,Prunella,R,0,1
15,3,212,Prunella,D,2,3
15,3,210,Lathyrus,C,3,3
15,3,162,Lathyrus,D,3,3
15,3,211,Lathyrus,D,1,3
16,3,386,Onobrychis,R,0,1
16,3,441,Onobrychis,C,3,3
16,3,442,Onobrychis,R,3,3
16,3,443,Onobrychis,D,0,1
16,3,394,Onobrychis,D,3,3
16,3,393,Onobrychis,R,1,1
17,3,445,Lathyrus,R,1,1
17,3,457,Lathyrus,R,1,1
17,3,217,Lathyrus,D,2,2
17,3,373,Prunella,D,0,1
17,3,450,Prunella,D,0,3
17,3,449,Prunella,R,3,3
17,3,159,Lathyrus,D,3,3
17,3,216,Prunella,C,3,3
17,3,215,Prunella,R,0,1
17,3,66,Lathyrus,D,0,1
17,3,161,Lathyrus,R,3,3
17,3,444,Lathyrus,D,2,3
17,3,67,Lathyrus,C,0,1
